mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_60471,CC(C)CCCCC#N,5.50394,0.4672,0.44521,4.2926,91.43,-0.3098,0.0382,0.348,2458.7796,0.215743,-368.449021,-368.437715,-368.436771,-368.486806,39.954,-2250.8051295011,-2265.0407986751,-2278.674686718,-2091.7811712121
gdb_28657,c1c(cnc(n1)N)C#N,5.91709,1.04575,0.88869,5.2599,77.88,-0.2463,-0.0534,0.1929,1194.9277,0.092071,-411.873714,-411.86609,-411.865146,-411.906262,27.382,-1445.352774862,-1452.122969463,-1459.233901451,-1355.658520929
gdb_97460,CN=COCCC(C)O,6.31598,0.48417,0.46188,2.0845,85.06,-0.2441,0.0288,0.2729,2407.6505,0.190768,-441.48138,-441.469981,-441.469037,-441.519737,39.23,-1998.10160762,-2010.500557951,-2022.948453984,-1852.295498907
gdb_76059,OC1C(C#C)C11CCO1,2.72903,1.29031,1.12389,1.4157,75.66,-0.2243,0.0344,0.2586,1140.7191,0.133254,-421.74749,-421.738435,-421.737491,-421.781514,33.177,-1687.2110586961,-1696.638753912,-1706.12166992,-1572.4214648351
gdb_36314,C#CCC1C=CC2CC12,4.12238,1.05184,0.91711,0.8533,86.1,-0.2297,0.017,0.2467,1289.7226,0.159658,-348.716644,-348.708509,-348.707564,-348.749431,32.115,-1940.864001694,-1952.6473656961,-1963.315646205,-1812.4392647721
gdb_35821,N#CC1NCC2CNC12,2.72508,1.56563,1.18711,5.8541,75.03,-0.236,0.0283,0.2643,1059.9401,0.151322,-398.10976,-398.102111,-398.101167,-398.142343,29.347,-1741.392695792,-1752.590593897,-1762.66650591,-1618.601107163
gdb_17912,OC1C2C=CC1C=C2,3.37648,2.33914,2.21279,1.4585,67.83,-0.2322,-0.0085,0.2237,718.4626,0.133054,-346.59144,-346.585586,-346.584642,-346.620841,25.253,-1629.812182957,-1640.359981738,-1649.25052925,-1521.504757066
gdb_96963,CN=C1OC2CC1(C)C2,2.69728,1.53734,1.16856,2.3155,82.24,-0.2415,0.0371,0.2786,1133.2806,0.171174,-403.147326,-403.1387,-403.137756,-403.180802,32.725,-1925.498188811,-1937.86074362,-1949.122647643,-1790.256194113
gdb_4587,c1c(ncc(n1)O)N,5.94363,1.58792,1.25456,2.0576,65.37,-0.2064,-0.0392,0.1672,891.1098,0.098125,-394.841434,-394.834926,-394.833982,-394.87181,25.337,-1340.873153871,-1348.343021007,-1355.454580504,-1252.309671156
gdb_49948,O=CC1NC1(C#C)C#C,2.27876,1.27817,0.9844,2.6863,77.28,-0.2503,-0.0452,0.2051,1200.0487,0.096821,-399.449692,-399.440678,-399.439734,-399.483632,32.737,-1488.7544348471,-1495.5421997001,-1503.246127693,-1393.916489641
gdb_23626,FC1=NC(=N)C=CO1,4.0159,1.99111,1.33113,2.8942,56.13,-0.252,-0.0388,0.2132,809.2827,0.073504,-438.713803,-438.707889,-438.706945,-438.744113,21.959,-1176.494661285,-1182.560163279,-1188.485730766,-1101.400031746
gdb_68573,CC12CC(N=CN1)C2=O,2.40891,1.93423,1.51173,4.3138,72.94,-0.2144,-0.0183,0.1961,936.9824,0.136958,-418.014329,-418.00664,-418.005696,-418.046069,30.086,-1693.779822908,-1704.0640679091,-1713.546983917,-1577.196808325
gdb_7033,N=COC(=O)CC=O,6.45782,0.91543,0.839,2.2773,59.12,-0.2684,-0.0444,0.224,1277.4864,0.0926,-435.771957,-435.763578,-435.762633,-435.806664,27.308,-1321.474968154,-1327.770765951,-1334.881697939,-1235.733393412
gdb_87234,CC1CC1(O)CCC#N,4.54421,0.70983,0.68737,4.2845,80.8,-0.2705,0.035,0.3056,1674.7028,0.168914,-403.155621,-403.145469,-403.144524,-403.191085,36.741,-1930.7033759661,-1942.108352041,-1953.369628555,-1796.70886916
gdb_30225,NC1CN2C1=NC=C2O,3.66556,1.29956,1.01069,1.6998,72.51,-0.1958,0.0384,0.2342,1136.336,0.126495,-434.050629,-434.042595,-434.041651,-434.083474,29.842,-1567.954228264,-1577.132802407,-1586.02272241,-1458.441985093
gdb_84384,OC1C=CC(O)C11CO1,2.13085,1.83475,1.19047,2.9887,69.12,-0.2449,-0.01,0.2349,1045.746,0.135413,-458.936463,-458.928249,-458.927305,-458.969303,31.671,-1669.1174641901,-1679.0722669661,-1688.555182974,-1553.328876001
gdb_124627,CC(C)Nc1cnn[nH]1,4.32712,0.90594,0.82857,5.8615,78.77,-0.2092,0.0187,0.2279,1427.4604,0.15996,-415.385864,-415.376778,-415.375834,-415.420085,33.633,-1765.7036494701,-1776.8877423771,-1787.556650395,-1636.946332778
gdb_124050,C1C=Cc2c(non2)O1,3.77018,1.68205,1.17394,5.4758,67.38,-0.2487,-0.0589,0.1899,947.414,0.091276,-452.706242,-452.699887,-452.698943,-452.737529,24.052,-1364.46184469,-1372.028348212,-1379.1392802,-1274.080468402
gdb_85744,CC1CC(C#N)N2CC12,3.28109,1.2216,1.04518,4.7083,78.93,-0.2522,0.0246,0.2768,1189.1483,0.161035,-382.071548,-382.063375,-382.062431,-382.104262,31.455,-1866.018493228,-1877.7767568701,-1888.445664888,-1736.9317343111
gdb_50505,O=CN1CCC(C1)C#C,5.20789,0.86912,0.76917,3.557,80.33,-0.2427,0.0243,0.267,1429.4829,0.14806,-401.952663,-401.943882,-401.942938,-401.986881,32.006,-1803.688024258,-1814.176209684,-1824.252121697,-1682.28260301
gdb_124867,CC1(CC1)n2cncn2,3.60968,1.23821,1.18517,3.2935,76.45,-0.2593,0.0097,0.2689,1117.1541,0.14947,-398.143638,-398.135692,-398.134748,-398.176633,29.943,-1762.651445694,-1773.6629736261,-1783.738885639,-1640.118390773
gdb_37557,C1OC23C4NC2C4C3=C1,4.24136,1.6428,1.37872,2.5821,75.81,-0.2272,0.0256,0.2529,921.2834,0.125888,-400.610406,-400.604169,-400.603225,-400.64081,25.869,-1589.261296359,-1599.568759193,-1608.458679196,-1478.8335175571
gdb_64599,OC1(C=O)C=CC2CC12,3.24899,1.34721,1.25372,2.6028,73.75,-0.2393,-0.044,0.1953,1048.0888,0.135686,-421.826306,-421.818512,-421.817568,-421.85861,30.427,-1736.66880804,-1746.887792105,-1756.370708113,-1620.799898699
gdb_116453,CCC1OCCCC1C,2.42684,1.26955,0.9793,1.1311,88.73,-0.2412,0.0809,0.3221,1359.0582,0.230074,-389.516508,-389.506829,-389.505885,-389.550576,37.521,-2305.082147965,-2321.227327026,-2335.454211074,-2137.092341084
gdb_4805,c1c(coc1CO)N,4.98871,1.31203,1.06225,2.5467,64.71,-0.1939,0.0213,0.2152,1062.6667,0.119542,-399.811999,-399.804188,-399.803244,-399.844429,28.678,-1482.934916381,-1491.364872287,-1499.662423794,-1382.649565546
gdb_100497,OCC(O)C#CCC=O,5.12315,0.50874,0.48786,2.4952,75.84,-0.2589,-0.0376,0.2213,2157.6553,0.132362,-458.930171,-458.919755,-458.918811,-458.968233,35.288,-1665.1691775621,-1673.74220552,-1683.225121528,-1552.657441371
gdb_83944,OC1C2OCOC1C2=O,2.47908,1.79279,1.55841,0.9948,60.41,-0.2443,-0.0555,0.1888,897.3895,0.112558,-494.868701,-494.86121,-494.860266,-494.900925,28.157,-1490.2629664831,-1498.893725269,-1507.190649267,-1387.20277085
gdb_69742,OC12CC1C1C=CCC21,3.26787,1.52986,1.31998,1.1816,78.96,-0.2375,0.025,0.2626,1013.5605,0.16068,-385.86457,-385.857172,-385.856228,-385.895971,30.45,-1897.0130452651,-1909.258255891,-1919.927163909,-1767.462557197
gdb_9960,CCC1(C)C(C)C1O,2.44288,1.61764,1.43649,1.2446,78.27,-0.2373,0.0613,0.2986,1068.1393,0.197945,-350.19774,-350.187676,-350.186731,-350.23196,37.091,-2009.2430299151,-2022.4803322701,-2034.928228303,-1863.8466845791
gdb_64972,CC1(CO1)C(=O)CC#N,3.54125,1.01628,0.85808,5.2593,69.97,-0.2732,-0.0488,0.2244,1315.391,0.121179,-437.894827,-437.885524,-437.884579,-437.929892,32.632,-1631.0621808851,-1639.445073616,-1648.33436611,-1523.30319786
gdb_18512,O=COC1CN2CC12,6.35348,1.15016,1.08826,2.4332,62.79,-0.2573,0.0024,0.2597,1063.8294,0.118788,-399.766061,-399.758911,-399.757966,-399.798443,25.619,-1454.108407939,-1462.953147294,-1471.250071292,-1353.7929366721
gdb_98343,CN(CC#C)C(=O)OC,3.53632,0.91934,0.81704,2.1775,76.06,-0.2452,0.0369,0.282,1441.4073,0.144704,-439.082994,-439.072366,-439.071422,-439.120183,35.878,-1748.796046974,-1758.124595768,-1768.200507781,-1628.998931293
gdb_105186,CC1NC1(C[NH3+])C([O-])=O,2.10872,1.49768,1.01996,4.9108,72.46,-0.2522,0.0132,0.2655,1211.3936,0.159973,-456.360243,-456.350973,-456.350029,-456.394509,34.244,-1773.8254984571,-1784.8941297081,-1795.563037726,-1645.200586164
gdb_66434,CC12C3C1C1(C)N3C21C,2.59558,1.69727,1.33457,1.905,82.98,-0.2009,0.0787,0.2796,1067.9824,0.168686,-365.914228,-365.905372,-365.904428,-365.946976,34.198,-1915.902948692,-1928.1218039401,-1939.383707963,-1780.4601511141
gdb_51810,O=COC1OCC2NC12,3.48271,1.22675,1.1175,6.4004,65.36,-0.2544,0.0183,0.2726,1100.7958,0.125129,-475.014866,-475.007193,-475.006249,-475.047729,28.095,-1569.7118809731,-1579.116985865,-1588.006905868,-1460.3150994581
gdb_116796,CC[NH+]=CNCC([O-])=O,6.65798,0.51721,0.49846,7.7485,80.5,-0.2308,0.0101,0.2409,2184.647,0.158114,-456.38812,-456.377916,-456.376972,-456.42564,35.134,-1791.3185668501,-1801.8011046951,-1812.4700127131,-1664.735568843
gdb_70705,CC12OC1CCOC2=O,2.31163,1.92791,1.24821,4.6713,68.12,-0.2648,-0.0112,0.2536,1016.3032,0.135978,-458.987513,-458.979515,-458.97857,-459.02007,30.13,-1701.1517986401,-1711.24214336,-1720.724431859,-1585.185625404
gdb_98751,OCC(=O)C1CN1C=O,3.8091,0.94758,0.82744,3.835,68.78,-0.2628,-0.0556,0.2073,1350.9923,0.121923,-475.021043,-475.012007,-475.011063,-475.055791,31.564,-1573.5880040661,-1582.137814191,-1591.027734194,-1465.374077016
gdb_35951,N#CC1CCCOC=N1,3.38355,1.18371,0.91899,5.4587,74.5,-0.2686,-0.0063,0.2623,1222.3081,0.137757,-418.023603,-418.01554,-418.014596,-418.05691,29.714,-1699.599341374,-1709.648898009,-1719.131814017,-1583.9996333941
gdb_129544,NC(C#C)C1=CN=NO1,3.32604,1.14385,1.04545,2.6072,69.9,-0.2653,-0.0468,0.2185,1149.0404,0.099948,-432.79241,-432.784112,-432.783168,-432.82605,29.909,-1406.262101707,-1413.497907986,-1421.201835979,-1310.6196899631
gdb_44914,O=C1OC2CC1N=CO2,2.97466,1.86065,1.63773,4.0415,60.29,-0.2703,-0.0176,0.2527,838.1414,0.104331,-473.874618,-473.86855,-473.867606,-473.90507,24.1,-1482.0476186551,-1490.6827700041,-1498.386697997,-1384.5088747131
gdb_52088,N=COCC12CN(C1)C2,5.03678,0.80214,0.77672,3.8018,79.04,-0.2347,0.0167,0.2515,1502.8487,0.15981,-419.115977,-419.107385,-419.106441,-419.151872,30.897,-1757.222237826,-1768.716947688,-1779.385855706,-1629.875561366
gdb_92380,CC1CC2COC12C#C,2.2107,1.624,1.28187,1.7906,82.1,-0.2452,0.0202,0.2654,1093.0658,0.158054,-385.826116,-385.817508,-385.816564,-385.859172,33.187,-1872.8828141791,-1884.368738915,-1895.037646933,-1744.3708535061
gdb_37290,C1C2C1C1C3OCC3C21,3.10127,1.75307,1.63983,1.7171,76.99,-0.2264,0.0629,0.2893,914.5177,0.161808,-385.791391,-385.784906,-385.783962,-385.821888,27.716,-1851.092564154,-1863.910690497,-1874.579598515,-1720.9748079501
gdb_87491,CC1NC11C2NC1C2O,2.92458,1.41799,1.15136,1.2002,76.45,-0.2401,0.064,0.3041,1118.5337,0.160062,-419.100239,-419.092204,-419.09126,-419.132532,31.922,-1747.346501184,-1759.190733559,-1769.859641577,-1617.7395373061
gdb_56620,CC(C#C)N(C=O)C=O,2.4677,1.11576,1.0037,5.7118,73.47,-0.2532,-0.0389,0.2143,1251.169,0.120625,-437.883121,-437.873407,-437.872463,-437.918255,33.842,-1623.7165605311,-1631.841547063,-1640.731467066,-1516.000875627
gdb_87093,OC1CC1(O)C#CC=O,4.52216,0.68054,0.65594,3.3792,78.34,-0.258,-0.064,0.194,1661.8311,0.108867,-457.710228,-457.700752,-457.699808,-457.745299,33.369,-1527.495585489,-1534.8813664191,-1543.1782904171,-1426.477931651
gdb_27428,Cc1cccnc(=O)n1,2.58576,1.71652,1.18889,5.9042,75.19,-0.2499,-0.089,0.1609,1032.0877,0.11327,-416.850159,-416.84253,-416.841586,-416.882319,28.35,-1591.104290292,-1599.649080345,-1607.946004343,-1488.155791261
gdb_87830,CC1NC11CC2OC12C,2.81683,1.34965,1.15561,1.3598,79.51,-0.2379,0.0691,0.307,1165.5208,0.169336,-403.091974,-403.083043,-403.082099,-403.125249,34.178,-1890.764310643,-1902.935475207,-1914.19737923,-1755.396186636
gdb_103777,CCC1(O)CC11COC1,3.22305,1.06963,0.96954,3.0704,79.07,-0.2383,0.0621,0.3004,1319.5562,0.180582,-424.186739,-424.177105,-424.176161,-424.221219,35.86,-1962.1585196091,-1974.77709809,-1986.631998118,-1820.913146308
gdb_92101,OC1CN2CC2CC=C1,2.33483,1.76985,1.28894,2.5675,80.28,-0.2129,0.0068,0.2197,1050.8649,0.172661,-403.112969,-403.104798,-403.103854,-403.145285,32.308,-1903.938862098,-1916.5869335021,-1927.848837525,-1767.96895696
gdb_111119,COC1C2CC1C1CC21,3.45832,1.29916,1.20127,0.9664,81.88,-0.2402,0.0946,0.3348,1137.2726,0.184552,-387.033886,-387.026206,-387.025262,-387.065939,31.198,-2002.917739195,-2016.7630977711,-2028.617997799,-1860.405425223
gdb_89847,OC1CC2(CC2)CC1O,2.84485,1.29228,1.13438,2.5285,77.54,-0.247,0.068,0.3151,1170.1392,0.183464,-424.222449,-424.213851,-424.212907,-424.25586,34.302,-1984.5668659991,-1997.835543804,-2009.690443832,-1842.6506855771
gdb_76184,CC1(C)C(O)C1(O)C=O,2.0282,1.51212,1.2333,2.5574,73.98,-0.2397,-0.0239,0.2158,1128.3666,0.154998,-460.156729,-460.14653,-460.145585,-460.191082,37.661,-1806.9937416701,-1817.480044569,-1828.148325078,-1678.783612826
gdb_72461,CC12CCC(C1)N=CO2,2.58943,1.88762,1.50055,2.2904,77.6,-0.242,0.0279,0.2699,970.0442,0.174005,-403.18798,-403.180571,-403.179627,-403.21932,30.464,-1951.008939697,-1964.1351729591,-1975.397076982,-1814.4265857751
gdb_90456,CC1CC2C(O1)C2(C)O,3.52888,1.13161,1.11211,0.5111,78.12,-0.222,0.0742,0.2962,1220.2489,0.181294,-424.218499,-424.209313,-424.208369,-424.252066,35.511,-1982.0882054491,-1994.9879079621,-2006.84280799,-1840.2699164311
gdb_28131,c1c2c(nco2)oc1N,5.4084,1.33103,1.06941,3.1558,68.6,-0.186,0.0002,0.1862,1025.1975,0.091788,-452.766163,-452.759413,-452.758469,-452.797251,25.847,-1402.0628114791,-1409.381448946,-1416.492380934,-1311.5565609
gdb_90543,CC1CC2C(CC12)C=O,4.14069,0.94156,0.87902,3.2146,83.55,-0.2413,-0.0189,0.2224,1386.7093,0.182075,-387.076405,-387.06753,-387.066586,-387.111152,33.246,-2029.5987943661,-2042.6942796871,-2054.549179715,-1888.7769896401
gdb_718,C1C2C3OC1C23,6.29327,5.52309,4.39133,1.7566,48.29,-0.2298,0.084,0.3137,384.9781,0.097855,-269.154939,-269.150758,-269.149814,-269.182103,16.78,-1163.942598758,-1171.984754102,-1178.504572612,-1085.856633816
gdb_72886,CC12COC1C1(CC1)C2,2.92312,1.42696,1.17256,1.7644,82.93,-0.236,0.0676,0.3036,1145.1422,0.182213,-387.046174,-387.037725,-387.036781,-387.07921,33.137,-2010.6285697871,-2023.9913739421,-2035.84627397,-1868.733097162
gdb_101748,COC(C)CC1COC1,3.18411,0.80205,0.73405,2.3327,82.35,-0.2397,0.0754,0.3151,1657.6355,0.203934,-425.396699,-425.386167,-425.385223,-425.433793,36.97,-2093.5676893351,-2107.3998702221,-2120.44076226,-1940.591662788
gdb_53762,CC(=O)C#CCNC=O,5.09979,0.53924,0.51473,2.4071,78.91,-0.2611,-0.0563,0.2048,2073.9322,0.121413,-437.897247,-437.887001,-437.886057,-437.935498,33.63,-1632.5807526651,-1640.3719044091,-1649.261824412,-1526.821013314
gdb_29091,CC1=COC(=O)C(=N)N1,3.12679,1.44161,0.99281,5.0347,73.09,-0.2159,-0.0464,0.1695,1130.6695,0.113512,-453.999459,-453.991486,-453.990542,-454.032059,29.813,-1548.1155312291,-1556.4438306771,-1564.7407546751,-1445.1871124861
gdb_98443,CC1(COC1)C(=O)NC,2.85992,1.0714,1.05305,3.7545,75.85,-0.2486,0.0255,0.2741,1287.5079,0.169572,-440.295315,-440.285133,-440.284189,-440.331832,35.395,-1881.6867654491,-1893.072288745,-1904.334192768,-1748.097001948
gdb_120959,CCCC1CC2CC2O1,4.38344,0.82525,0.77002,1.3113,86.03,-0.2332,0.0878,0.3211,1601.7427,0.206231,-388.289071,-388.279897,-388.278953,-388.323612,34.909,-2162.706003446,-2177.3909690641,-2190.431861102,-2008.3839700941
gdb_105366,CCC1(CC1)CC1OC1,2.55308,1.06067,0.87413,1.6887,85.74,-0.2555,0.0822,0.3377,1445.7978,0.204646,-388.259314,-388.249503,-388.248558,-388.294672,36.751,-2144.0332181331,-2158.3184605181,-2171.358725047,-1990.2238596341
gdb_121013,C[NH2+]C[C-]1NC=CC1=O,3.494,0.73047,0.62378,4.1711,84.98,-0.2123,-0.0622,0.1501,1808.2107,0.156791,-419.222005,-419.211007,-419.210063,-419.260304,37.125,-1823.7557620781,-1833.7406852861,-1844.409593304,-1697.9176172541
gdb_90931,CC1CC2C3CC1C23O,2.86912,1.39676,1.3712,1.3566,80.87,-0.2355,0.0744,0.31,1084.103,0.183874,-387.071901,-387.063874,-387.06293,-387.103802,32.876,-2026.7724938301,-2040.4001067831,-2052.255006811,-1884.16479849
gdb_82254,OC1C2OC2C2OCC12,2.59184,1.94934,1.44445,2.2297,65.62,-0.2489,0.0541,0.3029,919.7488,0.137673,-458.919553,-458.912541,-458.911597,-458.951061,27.78,-1658.5062870001,-1669.215355594,-1678.698271602,-1541.881856823
gdb_81510,CN1C2CC1C2(C)C#C,3.12636,1.41499,1.10788,0.8091,87.19,-0.2063,0.0401,0.2463,1144.6526,0.168515,-365.885794,-365.876606,-365.875662,-365.91974,35.418,-1898.060357786,-1910.070880046,-1921.332784069,-1763.36931599
gdb_81236,CC1C2CC11CCOC21,2.79156,1.55591,1.41988,1.5071,82.41,-0.246,0.09,0.3359,1047.4307,0.184402,-387.023081,-387.015381,-387.014437,-387.055078,31.162,-1996.1375044501,-2009.9703128461,-2021.825212874,-1853.5900499741
gdb_95019,CC1COC2C3OC3C12,2.52399,1.91729,1.44653,2.1973,72.96,-0.2328,0.0684,0.3012,966.2672,0.160613,-422.987636,-422.980222,-422.979278,-423.019329,29.541,-1837.5622150961,-1849.7967580691,-1860.465666087,-1707.9389359841
gdb_84879,CC1C=CCOC1(C)C,2.0541,1.75388,1.32064,1.068,86.59,-0.2393,0.0257,0.265,1126.394,0.20535,-388.308166,-388.298883,-388.297939,-388.341111,37.161,-2174.6882878011,-2189.3048549381,-2202.345746976,-2019.3647500851
gdb_109626,CNC1C(N)C1(O)C#N,2.68693,1.12824,1.00083,6.4844,74.52,-0.2263,0.0168,0.2431,1261.4888,0.146942,-435.234405,-435.224693,-435.223749,-435.268799,35.485,-1682.932702334,-1692.835421863,-1702.911333876,-1561.021508832
gdb_47980,O=CC#CC12CN1CC2,5.35087,0.72039,0.67868,3.8421,86.72,-0.2504,-0.0648,0.1856,1618.9931,0.123467,-400.677866,-400.669433,-400.668489,-400.712071,30.015,-1631.5930534991,-1640.5225065691,-1649.412426572,-1523.550436406
gdb_81121,OC1C2OC1(C=C2)C#C,2.67463,1.7507,1.2915,1.2871,72.43,-0.2547,-0.0105,0.2442,970.9793,0.111392,-420.537809,-420.530428,-420.529484,-420.569321,29.772,-1555.976963981,-1564.678003775,-1572.974927773,-1452.982029284
gdb_94218,CC1CCC1(O)CC#N,3.15153,1.07548,0.9756,3.2816,79.38,-0.2743,0.0237,0.298,1289.8473,0.169636,-403.1622,-403.152641,-403.151697,-403.1966,35.683,-1934.8317576771,-1946.6088465891,-1957.870750612,-1800.169581295
gdb_101776,CCC(C)CCC(C)=O,3.9448,0.60074,0.54967,2.5068,90.4,-0.2412,-0.0067,0.2344,2119.3586,0.225281,-389.529679,-389.517745,-389.516801,-389.568761,41.78,-2313.3470690041,-2328.0772152701,-2342.304099318,-2148.5035922491
gdb_68507,CC12CC(C3NC13)C2=O,2.55076,1.85017,1.44232,2.2498,75.03,-0.2347,0.0019,0.2366,961.858,0.148838,-401.917098,-401.909673,-401.908729,-401.948667,29.854,-1781.370666673,-1792.7097543031,-1802.785666316,-1658.3029740841
gdb_83218,OC1C2CNC(C#N)C12,2.7507,1.48204,1.27075,5.4001,71.8,-0.2447,0.0185,0.2632,1030.1395,0.138505,-417.997573,-417.989996,-417.989052,-418.029679,29.508,-1683.265282104,-1693.619808113,-1703.102724121,-1566.911935815
gdb_42455,C#CCC(=O)NCC#C,2.32129,1.00906,0.74106,2.9544,77.71,-0.2499,0.0205,0.2703,1480.8307,0.12098,-400.709857,-400.699945,-400.699,-400.746351,34.932,-1651.6676939181,-1659.6690611771,-1668.558353671,-1545.0614449261
gdb_85874,CC1(C)CC(O)C1C#N,2.13602,1.52896,1.09888,3.7876,78.88,-0.2751,0.0233,0.2984,1178.002,0.169453,-403.162578,-403.152995,-403.152051,-403.196451,36.271,-1935.0689560791,-1946.830984775,-1958.092888798,-1800.0760824541
gdb_28241,C1COc2c1oc(n2)N,4.82202,1.28689,1.03264,2.613,68.7,-0.182,0.0275,0.2095,1096.82,0.115438,-453.961206,-453.953965,-453.953021,-453.992908,27.489,-1524.111429452,-1532.899065488,-1541.195989486,-1420.619507627
gdb_67191,OC12C3NC1C(=O)OC23,3.08887,1.56824,1.51142,2.9789,60.9,-0.2426,-0.008,0.2345,899.6364,0.102335,-473.795617,-473.788999,-473.788055,-473.826512,26.273,-1432.473780146,-1440.763801545,-1448.467729538,-1335.213022691
gdb_6978,CC1OC=NC1(C)C,2.55483,2.25087,1.65871,1.6604,70.97,-0.2443,0.0266,0.2709,890.3706,0.164994,-365.093193,-365.084859,-365.083914,-365.1257,31.565,-1795.377295062,-1807.033902246,-1817.702810264,-1668.654362548
gdb_15212,OC1C(C#N)C1C#N,2.56328,2.03967,1.5641,5.4209,59.52,-0.2934,-0.0175,0.2759,828.939,0.083031,-377.521828,-377.514091,-377.513147,-377.554365,26.679,-1289.2643036751,-1295.075037015,-1301.593600507,-1209.050455714
gdb_72392,OC12CC=CC3OC1C23,2.7342,1.9699,1.41647,0.9739,71.41,-0.218,0.0015,0.2195,924.3724,0.136899,-421.781635,-421.77465,-421.773706,-421.812582,28.849,-1708.6373535011,-1719.3639923471,-1728.846908355,-1591.9169144471
gdb_91438,CN1CC2NC(C=O)C12,2.49045,1.45906,1.04702,3.6211,76.63,-0.2128,-0.0206,0.1921,1172.4079,0.158622,-419.151059,-419.142421,-419.141477,-419.184987,31.935,-1779.236508564,-1790.702353012,-1801.37126103,-1650.655521901
gdb_128441,COC(=O)c1cnno1,4.8069,1.07064,0.88048,3.0572,63.23,-0.2946,-0.0819,0.2127,1222.1443,0.08827,-489.882335,-489.874383,-489.873439,-489.91586,27.064,-1338.2859342641,-1344.849678404,-1351.960610392,-1249.0528994461
gdb_42384,C#CC(=N)NC(=O)C#C,3.3615,0.97151,0.75369,5.3915,77.35,-0.2605,-0.0621,0.1983,1391.8667,0.086447,-415.556772,-415.54762,-415.546676,-415.591713,32.157,-1407.343927223,-1413.155915581,-1420.266847569,-1319.511492493
