train,val,test
955,655.0,940.0
932,490.0,352.0
623,132.0,917.0
848,17.0,142.0
592,643.0,870.0
155,24.0,508.0
457,157.0,561.0
216,229.0,174.0
250,453.0,951.0
483,857.0,550.0
404,463.0,601.0
282,626.0,904.0
529,646.0,831.0
513,477.0,668.0
189,211.0,880.0
441,307.0,824.0
576,408.0,613.0
2,428.0,657.0
744,615.0,241.0
111,378.0,402.0
718,100.0,873.0
391,499.0,16.0
322,785.0,755.0
566,675.0,584.0
452,794.0,650.0
860,129.0,669.0
952,729.0,598.0
921,290.0,468.0
875,337.0,571.0
42,602.0,660.0
128,553.0,443.0
172,431.0,219.0
908,26.0,577.0
21,994.0,489.0
895,95.0,58.0
414,479.0,373.0
505,197.0,119.0
809,278.0,652.0
371,249.0,137.0
899,442.0,868.0
6,594.0,826.0
960,269.0,666.0
964,324.0,341.0
84,887.0,252.0
329,502.0,470.0
344,662.0,858.0
102,27.0,262.0
933,123.0,953.0
608,877.0,667.0
681,862.0,359.0
542,924.0,595.0
977,945.0,419.0
582,514.0,902.0
568,256.0,1.0
464,321.0,939.0
355,343.0,833.0
454,527.0,163.0
115,400.0,67.0
36,14.0,168.0
190,295.0,851.0
799,973.0,721.0
642,965.0,74.0
285,62.0,756.0
328,110.0,245.0
141,213.0,970.0
237,555.0,786.0
130,333.0,754.0
81,704.0,362.0
8,481.0,348.0
210,792.0,827.0
118,546.0,762.0
963,196.0,375.0
139,260.0,334.0
992,,
13,,
417,,
632,,
427,,
28,,
560,,
525,,
509,,
723,,
264,,
653,,
181,,
823,,
884,,
91,,
471,,
535,,
782,,
914,,
257,,
143,,
179,,
222,,
255,,
897,,
20,,
146,,
349,,
922,,
565,,
170,,
200,,
497,,
365,,
820,,
607,,
661,,
242,,
160,,
235,,
236,,
68,,
701,,
43,,
948,,
90,,
983,,
240,,
310,,
46,,
166,,
57,,
838,,
346,,
892,,
720,,
690,,
271,,
856,,
97,,
299,,
423,,
209,,
384,,
357,,
810,,
265,,
943,,
541,,
165,,
768,,
659,,
368,,
225,,
821,,
604,,
631,,
22,,
253,,
714,,
544,,
159,,
148,,
956,,
796,,
476,,
33,,
684,,
178,,
9,,
207,,
545,,
532,,
635,,
149,,
296,,
533,,
715,,
473,,
850,,
559,,
647,,
298,,
990,,
982,,
640,,
926,,
498,,
270,,
738,,
912,,
736,,
424,,
272,,
56,,
651,,
366,,
770,,
784,,
637,,
911,,
599,,
802,,
885,,
78,,
586,,
968,,
830,,
843,,
866,,
731,,
999,,
319,,
50,,
361,,
175,,
861,,
987,,
289,,
450,,
394,,
832,,
564,,
687,,
909,,
363,,
11,,
45,,
248,,
543,,
679,,
34,,
480,,
158,,
674,,
547,,
347,,
791,,
569,,
300,,
425,,
981,,
975,,
386,,
507,,
847,,
218,,
627,,
154,,
436,,
286,,
930,,
888,,
35,,
685,,
72,,
570,,
109,,
217,,
562,,
795,,
962,,
82,,
775,,
882,,
580,,
460,,
554,,
703,,
407,,
526,,
511,,
93,,
621,,
4,,
752,,
131,,
315,,
370,,
978,,
70,,
593,,
682,,
947,,
818,,
339,,
676,,
971,,
345,,
797,,
3,,
616,,
663,,
390,,
725,,
462,,
281,,
664,,
745,,
0,,
844,,
617,,
946,,
294,,
859,,
748,,
915,,
998,,
742,,
530,,
116,,
309,,
741,,
988,,
275,,
606,,
900,,
374,,
367,,
107,,
312,,
639,,
182,,
739,,
934,,
39,,
811,,
5,,
63,,
487,,
80,,
753,,
51,,
678,,
335,,
841,,
426,,
284,,
29,,
251,,
611,,
585,,
396,,
491,,
340,,
815,,
488,,
793,,
358,,
77,,
259,,
44,,
228,,
243,,
125,,
761,,
516,,
958,,
558,,
665,,
540,,
244,,
215,,
277,,
521,,
403,,
198,,
730,,
413,,
332,,
710,,
458,,
500,,
579,,
112,,
865,,
247,,
52,,
695,,
758,,
614,,
382,,
619,,
372,,
393,,
126,,
961,,
449,,
839,,
634,,
816,,
88,,
169,,
907,,
597,,
707,,
789,,
474,,
556,,
618,,
727,,
778,,
575,,
32,,
991,,
636,,
191,,
114,,
803,,
233,,
896,,
246,,
446,,
379,,
612,,
733,,
779,,
905,,
183,,
475,,
435,,
409,,
837,,
949,,
273,,
212,,
941,,
433,,
467,,
780,,
465,,
510,,
220,,
438,,
708,,
817,,
416,,
325,,
969,,
188,,
872,,
55,,
313,,
291,,
53,,
194,,
369,,
849,,
869,,
853,,
772,,
201,,
203,,
777,,
327,,
807,,
976,,
231,,
783,,
167,,
364,,
306,,
342,,
266,,
609,,
901,,
162,,
534,,
440,,
834,,
671,,
330,,
308,,
19,,
936,,
354,,
757,,
622,,
605,,
