SMILES,SA
CNC(=O)NCC(=O)NC[C@H](c1cccnc1)C(C)C,2.795116489
COc1cccc(C(=O)N2CCC[C@H]2[C@H]2CCC[C@@H]2O)c1,3.002385916
COc1ccc2c(c1)[C@H]([NH2+][C@H](C)CCN1CCOCC1)CCCO2,3.789130146
COc1cccc(OCC(=O)N2CCN(c3nc4ccc(S(C)(=O)=O)cc4s3)CC2)c1,2.245396536
COc1cccc(-c2nc(C(=O)O[C@@H](C)CNC(C)=O)c(C)[nH]2)c1,2.86962049
CCO[C@H]1C[C@@H]1C(=O)Nc1ccc(Sc2nncs2)c(Cl)c1,3.445502237
Cc1ccc(N(CC(=O)N2CCCC[C@H]2C)S(=O)(=O)c2c(C)nn(C)c2C)cc1,2.872766629
COc1ccc(C(=O)Nc2nc(CC(=O)Nc3ccc(N(C)C)cc3)cs2)cc1,1.983649537
O=c1c2ccccc2sn1-c1ncc(Br)s1,2.853247472
Cc1ocnc1CNC(=O)N(C)Cc1ccc(OC(F)F)cc1,2.60278761
COc1cc(Cl)c(C)cc1NC(=O)C(=O)NCc1ccccc1C[NH+](C)C,2.870575026
C[C@@H]([NH3+])c1cccc(Oc2cc(Br)ccc2Cl)c1,2.965149266
CC(C)NS(=O)(=O)c1cccc(C(=O)NCc2ccco2)c1,1.961616674
CN(Cc1ncnn1C)C(=O)CSCc1ccccn1,2.529083407
