mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_25682,CC#Cc1c[nH]c(=O)o1,6.01833,0.77632,0.69059,4.9334,80.51,-0.2085,-0.0177,0.1908,1560.0876,0.100442,-436.722323,-436.713773,-436.712829,-436.75747,29.76,-1523.1569882631,-1530.2352897831,-1537.939217776,-1428.8204227481
gdb_130359,c1c(noc1N=CN)N,7.42838,0.81722,0.73705,3.3354,80.23,-0.2024,-0.0182,0.1842,1461.8938,0.113544,-450.133938,-450.125318,-450.124374,-450.167499,31.352,-1471.627204201,-1479.548877817,-1487.845801815,-1368.941631441
gdb_30627,COC(=O)c1ccoc1,4.62029,1.03518,0.85022,1.4754,69.36,-0.2409,-0.0263,0.2146,1289.3419,0.112924,-457.823417,-457.815314,-457.814369,-457.856907,28.588,-1598.5227016901,-1606.770052477,-1615.066348966,-1496.512956123
gdb_125250,Cc1cc(nn1C=O)N,2.43848,1.47904,0.92686,5.0473,77.98,-0.2201,-0.0333,0.1868,1208.5923,0.125185,-434.112487,-434.104088,-434.103144,-434.145353,31.197,-1606.770679986,-1615.720213344,-1624.610133347,-1497.2716145041
gdb_116282,COC1OCCC1C=O,2.19563,1.40578,0.97962,2.6543,72.65,-0.2483,-0.0222,0.2262,1237.8088,0.158458,-460.172965,-460.163652,-460.162708,-460.208326,32.411,-1817.1819777941,-1828.224253667,-1838.893161685,-1689.604378022
gdb_55260,CC(=O)C1COC(N)=N1,3.23804,1.16925,0.96362,1.9769,70.33,-0.2212,-0.0118,0.2094,1228.2665,0.135822,-455.190445,-455.181437,-455.180492,-455.225624,32.196,-1667.6183451891,-1677.0742783101,-1686.5565668091,-1552.937310385
gdb_30073,Cn1cccc1NC=O,3.05998,1.37788,1.07652,2.8824,77.46,-0.201,0.0123,0.2133,1123.0394,0.137213,-418.064466,-418.055933,-418.054989,-418.097996,31.083,-1725.241241641,-1734.995869046,-1744.478785054,-1609.7814681681
gdb_55548,NC(=O)CC(=O)C1CN1,4.28559,0.84711,0.76883,2.712,72.3,-0.2508,-0.0474,0.2034,1459.1823,0.135901,-455.17186,-455.162848,-455.161904,-455.20725,32.308,-1655.956090424,-1665.409513509,-1674.892429517,-1541.407460019
gdb_30967,CNC1=C(O)OC(=N)N1,2.5529,1.36076,0.92946,3.6188,70.32,-0.178,0.0498,0.2278,1226.1172,0.124296,-471.207701,-471.198738,-471.197794,-471.241518,32.775,-1529.842469149,-1538.437459922,-1547.327379925,-1420.684141054
gdb_122445,CCOCC1CC1(C)C,4.2786,0.63821,0.61029,0.9257,91.89,-0.2462,0.0862,0.3323,1996.0815,0.226185,-389.481747,-389.470491,-389.469547,-389.51869,40.797,-2283.269307616,-2298.424904984,-2312.651789032,-2117.08358911
gdb_31944,c1c([nH]c(n1)C=O)CO,6.48443,0.82948,0.74251,7.4806,75.86,-0.2362,-0.0553,0.1809,1433.155,0.112775,-453.980156,-453.971683,-453.970739,-454.014322,29.58,-1536.0027250021,-1544.01726995,-1552.314193948,-1434.056985353
gdb_29380,C#CCc1[nH]cc(n1)N,5.86504,0.91541,0.79664,2.468,77.62,-0.1821,0.0376,0.2197,1373.5618,0.124905,-396.935699,-396.926972,-396.926028,-396.969818,32.44,-1632.510471657,-1641.254809572,-1650.144729575,-1524.053698624
gdb_95889,OC1COCC(C1)C=O,2.21939,1.46425,1.10206,1.8762,71.3,-0.2478,-0.0255,0.2223,1151.2516,0.15915,-460.173872,-460.165194,-460.164249,-460.207329,32.467,-1817.7511284571,-1829.191872545,-1839.860153054,-1688.978751549
gdb_26143,CN(C)c1c(nco1)O,2.66811,1.34998,1.096,0.9987,72.1,-0.2138,0.0056,0.2195,1156.9899,0.135527,-455.158619,-455.149696,-455.148751,-455.192732,32.096,-1647.647243755,-1657.156515141,-1666.63880364,-1532.297284357
gdb_113061,CCC1OC(CO)C1=O,2.10279,1.21283,0.87352,1.968,72.94,-0.2538,-0.0372,0.2166,1372.3775,0.156911,-460.159563,-460.149818,-460.148874,-460.195201,34.465,-1808.7721021761,-1819.5432941611,-1830.212202179,-1681.3683223971
gdb_61931,OC(CCC#C)C1CN1,4.72417,0.67217,0.63575,1.7069,81.4,-0.2441,0.0489,0.2929,1760.4038,0.1694,-403.083514,-403.073581,-403.072637,-403.11908,36.393,-1885.455584503,-1896.997985049,-1908.259889072,-1751.525083615
gdb_130584,O=C1C=C(ON=N1)C#N,2.02698,0.92836,0.66578,3.8078,60.8,-0.2923,-0.0954,0.1969,1511.5929,0.04774,-467.66848,-467.65775,-467.656806,-467.710202,30.834,-1192.504298402,-1194.6591643081,-1199.9911082811,-1128.419314268
gdb_61842,OC(CC=O)C1CC1O,4.02055,0.81685,0.75575,2.4875,72.61,-0.236,-0.0296,0.2064,1502.2043,0.156755,-460.145084,-460.135475,-460.134531,-460.180453,35.071,-1799.6863993651,-1810.542932574,-1821.211840592,-1672.113819665
gdb_126218,CCc1cnoc1CO,1.76432,1.67951,0.95192,2.1102,74.49,-0.2477,-0.0139,0.2338,1251.5312,0.147414,-439.081173,-439.072065,-439.071121,-439.116172,32.391,-1747.6533530851,-1757.9357155591,-1768.0116275721,-1626.4819926941
gdb_33174,CCCN1C=COC1=N,3.41638,1.04177,0.85457,3.0103,78.66,-0.1876,0.0312,0.2188,1382.5298,0.159627,-419.234948,-419.225915,-419.224971,-419.269836,33.024,-1831.877611065,-1843.095589458,-1853.764497476,-1703.899033042
gdb_53088,CC#CC1=CCOC1C,3.47372,0.9103,0.75203,1.9769,92.14,-0.2193,-0.0156,0.2037,1542.4843,0.157562,-385.883758,-385.873938,-385.872994,-385.920874,34.257,-1909.0536879571,-1919.7790717851,-1930.447979803,-1783.0894138241
gdb_124788,CC(O)C1=NN(C)C=N1,4.07405,1.01688,0.91399,4.5563,74.61,-0.2528,0.0032,0.256,1325.4234,0.148255,-435.296795,-435.287661,-435.286717,-435.331708,32.498,-1722.082988844,-1732.3484085751,-1742.424320588,-1600.497472513
gdb_128937,c1c(nno1)NCC#N,3.82615,1.04982,0.92638,4.1305,63.92,-0.245,-0.0459,0.1991,1196.899,0.089691,-448.896144,-448.888407,-448.887463,-448.929754,27.185,-1322.751948969,-1329.450607544,-1336.561539532,-1233.468085922
gdb_51890,O=COC1CCCCO1,4.24422,0.91868,0.79437,5.0765,73.58,-0.2673,0.0062,0.2735,1425.0019,0.160034,-460.202713,-460.194302,-460.193357,-460.236317,31.119,-1835.8491155261,-1847.457404517,-1858.125685026,-1707.1689824411
gdb_86221,CC1CC(C)C(N1)C#N,2.49732,1.22297,0.88002,4.8835,83.25,-0.235,0.0329,0.2679,1357.9643,0.183364,-383.298544,-383.289058,-383.288113,-383.33324,35.334,-2008.1179062781,-2020.8293560911,-2032.68362861,-1866.9039084271
gdb_128534,Cc1c(c([nH]n1)OC)O,3.08038,1.26771,0.95763,3.2305,72.21,-0.2046,0.0315,0.2361,1230.4478,0.134864,-455.147879,-455.138206,-455.137262,-455.183233,33.721,-1640.9077970951,-1649.946436731,-1659.429352739,-1526.336576366
gdb_59350,CC1CC(N(C)C)C1=O,2.88561,1.12986,0.88105,2.6339,84.23,-0.2116,-0.0191,0.1925,1401.2896,0.191956,-404.345496,-404.335344,-404.3344,-404.380573,37.194,-2049.5090274271,-2062.6911089901,-2075.139005023,-1901.9007128661
gdb_126307,CCc1cc(nn1C)O,2.90174,1.19062,0.91045,2.5599,79.52,-0.2082,0.0276,0.2358,1310.8899,0.159541,-419.240599,-419.231133,-419.230189,-419.275752,34.057,-1835.423664424,-1846.3699314201,-1857.038839438,-1707.6113762861
gdb_121288,COCC1CCC=C1C,2.62555,1.09625,0.86704,1.0209,89.1,-0.2226,0.0356,0.2582,1446.8415,0.205413,-388.302152,-388.292161,-388.291217,-388.337467,36.436,-2170.914448675,-2185.0867394401,-2198.127631478,-2017.078107289
gdb_92921,CC1CC=CC(O1)C#C,2.42922,1.43477,1.05508,1.2432,82.98,-0.2499,0.0131,0.2631,1195.4945,0.15847,-385.864063,-385.855317,-385.854373,-385.897308,33.655,-1896.6948982021,-1908.0942266961,-1918.763134714,-1768.3015367301
gdb_49379,O=CN1C(CC1=O)C#C,2.39933,1.40375,0.96638,5.4995,71.04,-0.2625,-0.0424,0.2201,1163.2039,0.098842,-436.686502,-436.678032,-436.677088,-436.720273,29.933,-1500.6789883741,-1507.807490614,-1515.511418607,-1405.4789704751
gdb_110189,CNC1C(OC1=O)C=O,2.43598,1.22436,0.87348,2.4164,66.73,-0.2499,-0.0547,0.1952,1286.7731,0.122241,-475.0312,-475.0221,-475.021156,-475.06627,31.158,-1579.9616129791,-1588.471262528,-1597.361182531,-1471.949743827
gdb_122329,COCCC1=CCCC1,4.70691,0.65,0.61656,1.0068,89.98,-0.2273,0.031,0.2583,1908.3847,0.205796,-388.299563,-388.289578,-388.288634,-388.335776,35.721,-2169.289827874,-2183.4658836931,-2196.506775731,-2016.0169895701
gdb_22976,CCC(=NO)C1CCO1,2.22853,1.28888,0.89387,1.3904,77.85,-0.2402,0.012,0.2522,1346.1906,0.169098,-440.227432,-440.217606,-440.216662,-440.26311,35.14,-1839.0895720021,-1850.698488502,-1861.960392525,-1704.97332845
gdb_53057,CC#CC1=CC(C)CC1,4.66295,0.71496,0.64285,0.2908,101.06,-0.2115,-0.0059,0.2056,1817.3206,0.181855,-349.962822,-349.95284,-349.951896,-349.999473,35.748,-2095.0002923821,-2107.4017527491,-2119.256652777,-1955.6292884641
gdb_124466,CC(C)(c1ccn[nH]1)O,3.19639,1.20598,1.07657,2.01,77.12,-0.2362,0.02,0.2562,1189.6322,0.159409,-419.234105,-419.225057,-419.224112,-419.267905,34.374,-1831.3486209781,-1842.557186736,-1853.225467245,-1702.687313163
gdb_93160,OC1CC=CCCC1=O,2.02143,1.74761,1.25136,1.4888,76.59,-0.2336,-0.0197,0.2139,1081.886,0.16005,-423.048445,-423.039834,-423.03889,-423.081972,32.547,-1875.7204098771,-1887.2038245771,-1897.872732595,-1747.247982271
gdb_113069,CC1C(CO)CC1CO,2.05007,1.11603,0.89434,2.6069,81.7,-0.2574,0.0732,0.3306,1427.9637,0.204534,-425.401731,-425.391225,-425.390281,-425.4373,38.601,-2096.7253146231,-2110.5738107441,-2123.6147027821,-1942.792336851
gdb_132631,c1c(nc(c(n1)O)F)N,3.14051,1.44157,0.98884,3.131,66.68,-0.2097,-0.0394,0.1704,1080.295,0.090155,-494.091207,-494.083898,-494.082954,-494.122822,28.245,-1360.524225715,-1367.491458142,-1374.60239013,-1270.127789211
gdb_88932,CC1CC1NC(=N)C=O,3.89232,0.83025,0.72412,3.755,80.37,-0.2364,-0.0681,0.1683,1559.9358,0.157907,-419.203898,-419.194205,-419.193261,-419.239319,34.798,-1812.393456615,-1823.1972790681,-1833.8661870861,-1684.7493408891
gdb_85803,CN1CC(O)(C#C)C1=O,2.62009,1.22096,1.1789,2.5644,73.82,-0.242,0.0051,0.2471,1151.9709,0.121526,-437.861812,-437.852244,-437.8513,-437.896303,33.816,-1610.34497125,-1618.561574096,-1627.451494099,-1502.225798059
gdb_55998,[O-]C(=O)CC1CNC1=[NH2+],3.33065,1.13011,0.87742,7.7867,70.84,-0.2428,0.0093,0.2521,1261.6863,0.136773,-455.181833,-455.173519,-455.172575,-455.215234,30.776,-1662.2142376811,-1672.1056620481,-1681.588578056,-1546.4174918751
gdb_109398,C1CC(=CCOC1)CO,2.97924,1.08353,0.85421,1.3849,80.96,-0.2369,0.0133,0.2502,1380.1977,0.183654,-424.221853,-424.212925,-424.211981,-424.255868,33.895,-1984.1928706351,-1997.2544704701,-2009.109370498,-1842.655705649
gdb_46406,N=C1OCC1OCC#C,3.96299,0.87114,0.76203,1.6052,73.06,-0.2583,0.0047,0.263,1447.723,0.122297,-437.823819,-437.814948,-437.814003,-437.858468,31.517,-1586.504021813,-1595.157998432,-1604.047290926,-1478.483995044
gdb_57362,CC(C)(C)C1(CN1)C#C,2.06091,1.54751,1.19329,1.9372,87.65,-0.2425,0.0438,0.2862,1183.6027,0.191142,-367.156904,-367.146582,-367.145638,-367.191508,39.925,-2067.8417028621,-2080.9177354041,-2093.365631437,-1920.1926002161
gdb_96694,CN=C(C=O)N1CCC1,3.16011,1.10483,0.84823,3.0539,83.2,-0.2206,-0.0657,0.1549,1367.8686,0.157753,-419.189278,-419.179657,-419.178713,-419.224668,33.415,-1803.219275035,-1814.068278136,-1824.737186154,-1675.55570653
gdb_117266,COCC(=O)C1COC1,2.79449,1.0552,0.8248,3.8023,72.71,-0.2462,-0.0238,0.2223,1410.8127,0.156957,-460.136368,-460.126571,-460.125627,-460.172921,33.149,-1794.2170309211,-1804.9555924381,-1815.6245004561,-1667.387421877
gdb_96859,CN=C1OC(C)C1C#N,2.4167,1.30565,0.95069,3.949,76.43,-0.2686,0.0031,0.2717,1259.9782,0.134667,-418.019499,-418.010154,-418.00921,-418.054302,32.546,-1697.024044438,-1706.269134535,-1715.752050543,-1582.363089922
gdb_48286,O=CN(CC1CO1)C=O,3.34645,0.97428,0.81311,6.7155,68.0,-0.2518,-0.0374,0.2143,1364.6479,0.122207,-475.02741,-475.01838,-475.017436,-475.062565,30.822,-1577.583353869,-1586.136929048,-1595.026849051,-1469.624822982
gdb_97833,OCC#CC1CCC1=O,4.00316,0.68162,0.61647,2.3133,80.02,-0.2386,-0.0272,0.2114,1780.0842,0.133857,-421.795798,-421.786261,-421.785317,-421.832609,33.096,-1717.5247634681,-1726.6499993461,-1736.132915354,-1604.48403719
gdb_86178,CC1CC(C)(C)C(C)O1,2.22065,1.37671,1.14665,1.3917,88.33,-0.237,0.076,0.313,1273.4685,0.22767,-389.519202,-389.508941,-389.507997,-389.553748,39.877,-2306.7726572111,-2322.5526260341,-2336.779510082,-2139.0827996321
gdb_59627,CC(O)C1COC(=O)O1,3.15167,1.16775,1.04613,4.5469,64.34,-0.2889,0.0397,0.3287,1185.1329,0.135826,-496.154254,-496.14565,-496.144706,-496.188356,31.056,-1669.1074240461,-1678.816870803,-1688.2997868111,-1553.8547285431
gdb_129719,c1c(c(n(n1)C=O)O)N,3.53056,1.29011,0.94963,5.8031,67.83,-0.2334,-0.0369,0.1965,1142.9868,0.102143,-470.026374,-470.018394,-470.01745,-470.05894,29.166,-1416.40076462,-1423.835491252,-1431.539419245,-1319.828384538
gdb_27725,C#Cc1c(nc([nH]1)O)O,3.00172,1.31207,0.91299,2.2133,72.62,-0.1872,0.0109,0.1982,1168.0698,0.089065,-452.761046,-452.752878,-452.751934,-452.793472,30.848,-1398.8518479261,-1405.280677631,-1412.391609619,-1309.185204389
gdb_28079,NC1=NC(OC=N)=CO1,4.99433,0.94141,0.79303,4.5421,68.88,-0.2074,0.0154,0.2228,1344.4444,0.10172,-470.029802,-470.021703,-470.020759,-470.063337,29.206,-1418.551865472,-1425.911918533,-1433.615846526,-1322.587541611
gdb_51851,O=CNC1CNCC1=O,2.93603,1.21544,0.89766,1.7909,69.64,-0.2358,-0.0386,0.1972,1243.492,0.137071,-455.183719,-455.175293,-455.174349,-455.21763,30.537,-1663.397719655,-1673.218863014,-1682.701779022,-1547.921003439
gdb_132206,NC1=NC(=N)C=C(F)O1,2.0768,1.86064,0.9818,4.6856,65.83,-0.2297,-0.0099,0.2198,1082.3201,0.090154,-494.070402,-494.063024,-494.06208,-494.102326,28.019,-1347.46890097,-1354.392835276,-1361.503767264,-1257.266364747
gdb_62075,OC(CCC1CO1)C=O,4.66643,0.63543,0.61819,3.0607,73.78,-0.2671,-0.039,0.228,1797.2008,0.15663,-460.145914,-460.136263,-460.135319,-460.181794,34.065,-1800.2072318351,-1811.037409666,-1821.706317684,-1672.9553092341
gdb_103597,CCC1(C)CC(C)(O)C1,2.65182,1.12796,0.9594,1.3074,89.09,-0.2503,0.0711,0.3214,1399.8286,0.226228,-389.497368,-389.486663,-389.485719,-389.532229,41.523,-2293.0716257051,-2308.5729805321,-2322.79986458,-2125.579433461
gdb_119988,CCOC1C(O)C1CO,2.92342,0.90002,0.8737,3.6804,75.48,-0.2404,0.056,0.2964,1476.0228,0.180841,-461.32495,-461.31478,-461.313835,-461.360736,36.894,-1912.2113132451,-1924.4929193931,-1936.347191912,-1771.529443026
gdb_50691,O=CC1OCOC1C=O,2.20088,1.84723,1.21393,2.6446,61.15,-0.2537,-0.0554,0.1983,1000.2238,0.110513,-494.895937,-494.887552,-494.886607,-494.930375,28.682,-1507.3538016071,-1515.423567347,-1523.719863836,-1405.6829109001
gdb_23115,ON=C1CCOC1C=O,2.61533,1.32051,1.02259,2.7157,68.91,-0.2422,-0.0357,0.2066,1155.5597,0.122894,-474.986829,-474.978328,-474.977384,-475.020588,30.578,-1552.1184111401,-1561.00393858,-1569.893858583,-1443.283877689
gdb_28758,c1c(oc(n1)O)NC=N,3.95229,1.05792,0.96212,2.6157,66.07,-0.2241,0.0164,0.2405,1205.2618,0.102224,-470.032538,-470.02461,-470.023665,-470.06597,28.64,-1420.268730096,-1427.736087196,-1435.43938768,-1324.239772808
gdb_52335,C1COC(O1)COC=O,2.71906,1.28673,1.11945,3.1242,64.86,-0.2637,0.0087,0.2724,1130.2461,0.135727,-496.115845,-496.107363,-496.106419,-496.150285,29.578,-1645.0054308651,-1654.7914337201,-1664.2743497281,-1529.964833404
gdb_48127,C1CN(C1=O)C(=O)C=O,3.03629,1.25933,0.90031,4.8679,66.23,-0.2628,-0.0935,0.1693,1197.4328,0.099488,-473.868041,-473.859693,-473.858749,-473.901966,28.706,-1477.9204919621,-1485.124922791,-1492.828850784,-1382.5610867771
gdb_55961,NC(=O)OC1CN=CO1,4.36061,0.98623,0.94823,2.4339,62.25,-0.2638,0.015,0.2787,1236.9701,0.113557,-491.141923,-491.133745,-491.132801,-491.175891,29.11,-1500.8371206421,-1509.036153236,-1517.333077234,-1398.511110539
gdb_105404,OCC1(CC1O)OC=O,2.30578,1.23135,1.03115,4.2305,66.07,-0.265,0.0063,0.2713,1208.5113,0.132823,-496.08728,-496.077712,-496.076768,-496.121893,34.327,-1627.0806362801,-1636.185164361,-1645.668080369,-1512.1485978761
gdb_116200,COC1COCC1(C)O,2.20638,1.49066,1.15907,1.3573,74.79,-0.2402,0.0708,0.311,1175.8249,0.180404,-461.353259,-461.343261,-461.342317,-461.388025,36.461,-1929.9754655261,-1942.365003222,-1954.21990325,-1788.653536127
gdb_64161,CC1(C)CCC1(O)C#C,2.18554,1.45443,1.34677,1.0083,84.36,-0.2509,0.0321,0.283,1129.8839,0.178988,-387.051954,-387.041797,-387.040853,-387.086,39.096,-2014.2555718071,-2026.5465905901,-2038.401490618,-1872.9938832721
gdb_75047,CC1=CC=CCCCC1,2.35407,1.41847,1.02824,0.5781,96.06,-0.2098,-0.0074,0.2023,1274.3918,0.207727,-351.176298,-351.167456,-351.166512,-351.209343,35.12,-2228.615783752,-2243.5097098671,-2256.550601905,-2073.611020608
gdb_127991,CN=c1cc(cno1)N,3.88785,1.16105,0.89964,4.824,81.85,-0.2082,-0.0549,0.1534,1255.173,0.123944,-434.046765,-434.0382,-434.037256,-434.080105,31.605,-1565.529533488,-1574.374900352,-1583.264820355,-1456.327907272
gdb_111970,CC1C(O)C=CC1CO,2.30561,1.31764,1.06142,1.5094,79.47,-0.2503,0.0115,0.2618,1230.6116,0.182447,-424.227804,-424.218291,-424.217347,-424.261883,36.034,-1987.9271766941,-2000.6216837641,-2012.476583792,-1846.430172284
gdb_92702,CC1=CCC(O)C1(C)O,2.25833,1.57623,1.16911,0.815,80.23,-0.2328,0.0284,0.2611,1149.8147,0.180104,-424.243588,-424.233434,-424.23249,-424.277896,38.152,-1997.8317787501,-2010.1240525511,-2021.978952579,-1856.4784739011
gdb_132530,Cc1cc(c(cn1)C)F,3.09699,1.31208,0.93223,0.7524,79.5,-0.2487,-0.0147,0.234,1226.8428,0.135355,-426.052023,-426.04343,-426.042486,-426.086013,31.116,-1769.4774885961,-1779.1950929701,-1788.678008978,-1654.701699933
gdb_47636,C1C=CC(=O)C(=O)CO1,2.44644,1.67418,1.12824,5.1344,69.58,-0.2376,-0.0835,0.1541,1049.8923,0.112041,-457.777921,-457.770066,-457.769122,-457.811322,28.575,-1569.9735522261,-1578.376525245,-1586.673449243,-1467.9079583581
gdb_27985,c1c(oc(=O)n1C=O)O,3.87973,1.24763,0.94405,5.1521,59.28,-0.2278,-0.0365,0.1913,1111.3781,0.07634,-509.821133,-509.813298,-509.812354,-509.853823,27.687,-1312.152066941,-1317.90067689,-1324.418612873,-1229.132626241
gdb_124737,CC([NH3+])C1=NOC([O-])=N1,3.95781,1.10675,0.90679,13.0246,69.23,-0.1924,-0.0055,0.1869,1241.2342,0.123497,-471.177944,-471.169698,-471.168754,-471.211258,30.085,-1511.1696838361,-1520.214598562,-1529.1045185651,-1401.6957187141
gdb_113688,COC(=O)N1CC1CO,3.71278,0.93069,0.77821,3.2804,70.72,-0.26,0.0254,0.2854,1457.8262,0.146108,-476.223748,-476.213946,-476.213002,-476.259511,33.721,-1700.4445959971,-1710.290839716,-1720.366751729,-1579.49662881
gdb_89040,CN1CC1COC(C)=O,3.22877,0.97914,0.86225,1.5149,76.74,-0.2292,0.0148,0.244,1415.2486,0.168579,-440.287419,-440.277277,-440.276333,-440.324388,35.371,-1876.731954385,-1888.1425780411,-1899.404482064,-1743.425824952
gdb_60956,CN(C=O)C1CC(=O)C1,3.74381,0.88616,0.81698,2.9285,74.29,-0.2422,-0.0344,0.2078,1412.9469,0.145673,-439.108969,-439.099674,-439.09873,-439.144665,32.919,-1765.095593249,-1775.26061154,-1785.336523553,-1644.361606631
gdb_51531,O=COC1CC(C1)C#N,5.48079,0.7073,0.69585,1.5785,71.81,-0.291,-0.005,0.286,1564.4049,0.1236,-437.910047,-437.901429,-437.900485,-437.944856,30.114,-1640.6128678651,-1649.425604261,-1658.315524264,-1532.693242536
gdb_86865,CC1CC(OC1=O)C=O,2.873,1.2351,0.9839,2.3991,68.24,-0.2696,-0.0488,0.2208,1203.4221,0.13482,-459.02301,-459.014391,-459.013447,-459.057101,30.892,-1723.4264856131,-1733.127147244,-1742.610063252,-1608.422911183
gdb_32298,CNc1cncoc1=O,2.80768,1.52538,0.99513,2.6581,74.24,-0.2098,-0.0443,0.1655,1126.0029,0.113593,-454.001446,-453.993362,-453.992418,-454.034508,29.205,-1549.362391612,-1557.621037561,-1565.917961559,-1446.723882027
gdb_22567,CC1C(O)C(O)C1=NO,2.20464,1.55095,1.06963,1.7422,71.18,-0.2592,-0.0112,0.248,1148.641,0.145678,-476.163256,-476.153933,-476.152989,-476.197091,35.015,-1662.4853215691,-1672.632142099,-1682.708054112,-1540.3275170301
gdb_105612,OCC1(NCC1=O)C=O,1.93139,1.71758,1.24192,1.3976,66.75,-0.2557,-0.0628,0.1929,1055.6772,0.12276,-475.01462,-475.005896,-475.004952,-475.048234,31.451,-1569.557513759,-1578.303106692,-1587.193026695,-1460.631991503
gdb_56961,CC(C#N)C1CN1C=O,2.18667,1.36243,1.15997,6.0604,73.7,-0.2584,-0.0071,0.2513,1147.871,0.134677,-418.01133,-418.002106,-418.001161,-418.045871,32.411,-1691.897923417,-1701.2189421031,-1710.701230602,-1577.072561543
